name,size,unit,portions,nutrition,ingredients
Rahkahyytelökakku,,g,,"{'CarbohydratePerUnit': '25.38', 'ProteinPerUnit': '4.02', 'FatPerUnit': '8.32', 'KcalPerUnit': '192.05'}","{'kananmunaa': {'Unit': '', 'Amount': '6'}, 'sokeria': {'Unit': 'rkl', 'Amount': '1 1/2'}, 'vehnäjauhoja': {'Unit': 'dl', 'Amount': '2 1/4'}, 'kaakaojauhetta': {'Unit': 'rkl', 'Amount': '4 1/2'}, 'leivinjauhetta': {'Unit': 'tl', 'Amount': '3'}, 'maitorahkaa': {'Unit': 'tlk', 'Amount': '1'}, 'kananmunan keltuaista': {'Unit': '', 'Amount': '2'}, 'liivatelehteä': {'Unit': '', 'Amount': '7'}, 'aprikooseja liemineen': {'Unit': 'prk', 'Amount': '2'}, 'kuohukermaa': {'Unit': 'dl', 'Amount': '4'}, 'lakkahilloa': {'Unit': 'dl', 'Amount': '1/2'}, 'persikanpuolikkaita': {'Unit': 'tlk', 'Amount': '1'}, 'mandariinilohkoja': {'Unit': 'tlk', 'Amount': '1'}, 'päärynänpuolikkaita': {'Unit': 'tlk', 'Amount': '1'}, 'kirsikoita sokeriliemessä': {'Unit': 'prk', 'Amount': '1'}, 'viinirypäleitä': {'Unit': 'g', 'Amount': '150'}, 'hyytelösokeripakkauksen ohjeen mukaan': {'Unit': '', 'Amount': '1'}, 'vanilliinisokeria': {'Unit': 'tl', 'Amount': '1/2'}}"
Täytetty pullapitko,,g,30,"{'CarbohydratePerUnit': '39.48', 'ProteinPerUnit': '6.30', 'FatPerUnit': '12.15', 'KcalPerUnit': '294.03'}","{'maitoa': {'Unit': 'dl', 'Amount': '5'}, 'tuorehiivaa': {'Unit': 'g', 'Amount': '50'}, 'muna': {'Unit': '', 'Amount': '1'}, 'sokeria': {'Unit': 'dl', 'Amount': '1'}, 'suolaa': {'Unit': 'tl', 'Amount': '1'}, 'kardemummaa': {'Unit': 'tl', 'Amount': '2'}, 'Pirkka vehnäjauhoja': {'Unit': 'dl', 'Amount': 'n. 13 1/2'}, 'Pirkka voita': {'Unit': 'g', 'Amount': '50'}, 'kermaa tai maitoa': {'Unit': 'rkl', 'Amount': '1'}, 'Pirkka hasselpähkinärouhetta': {'Unit': 'g', 'Amount': '100'}, 'paistonkestävää vadelmahilloa': {'Unit': 'g', 'Amount': '300'}}"
Tuulihatut,,g,40,"{'CarbohydratePerUnit': '7.50', 'ProteinPerUnit': '9.74', 'FatPerUnit': '18.76', 'KcalPerUnit': '236.64'}","{'voita': {'Unit': 'g', 'Amount': '150'}, 'vettä': {'Unit': 'dl', 'Amount': '3'}, 'vehnäjauhoja': {'Unit': 'dl', 'Amount': '2 1/4'}, 'munaa': {'Unit': '', 'Amount': '4'}, 'edamjuustoraastetta': {'Unit': 'g', 'Amount': '250'}, 'sulatejuustoa': {'Unit': 'g', 'Amount': '100'}, 'Valio Aura sinihomejuustoa': {'Unit': 'g', 'Amount': '100'}, 'kermaviiliä': {'Unit': 'prk', 'Amount': '1'}}"
Kylmäsavulohi-pastasalaatti,,g,4,"{'CarbohydratePerUnit': '25.24', 'ProteinPerUnit': '5.87', 'FatPerUnit': '5.17', 'KcalPerUnit': '172.95'}","{'Pirkka fusilli täysjyväpastaa': {'Unit': 'g', 'Amount': 'n. 200'}, 'Pirkka maissinjyviä': {'Unit': 'tlk', 'Amount': '1/2'}, 'kylmäsavustettua kirjolohta': {'Unit': 'g', 'Amount': '150'}, 'omena': {'Unit': '', 'Amount': '1'}, 'punainen paprika': {'Unit': '', 'Amount': '1'}, 'keltainen paprika': {'Unit': '', 'Amount': '1'}, 'Pirkka sinappia': {'Unit': 'rkl', 'Amount': '2'}, 'valkoviinietikkaa': {'Unit': 'rkl', 'Amount': '2'}, 'öljyä': {'Unit': 'rkl', 'Amount': '3'}, 'juoksevaa hunajaa': {'Unit': 'rkl', 'Amount': '3/4'}, 'suolaa': {'Unit': 'tl', 'Amount': '1/2'}}"
Savukalakiusaus,,g,4,"{'CarbohydratePerUnit': '8.65', 'ProteinPerUnit': '4.34', 'FatPerUnit': '5.92', 'KcalPerUnit': '108.24'}","{'kylmäsavukirjolohiviipaleita': {'Unit': 'pkt', 'Amount': '1'}, 'Pirkka perunasuikaleita (pakaste)': {'Unit': 'ps', 'Amount': '1'}, 'Pirkka sipulikuutioita (pakaste)': {'Unit': 'ps', 'Amount': '1/2'}, 'suolaa': {'Unit': 'tl', 'Amount': 'n. 1/2'}, 'mustapippuria': {'Unit': 'tl', 'Amount': '1/4'}, 'tilliä hienonnettuna': {'Unit': 'dl', 'Amount': '1/2'}, 'Pirkka ruokakermaa (10%)': {'Unit': 'dl', 'Amount': '3'}}"
Helppo tomaattinen possurisotto,,g,4,"{'CarbohydratePerUnit': '12.60', 'ProteinPerUnit': '7.24', 'FatPerUnit': '4.78', 'KcalPerUnit': '122.77'}","{'marinoituja possunsuikaleita': {'Unit': 'rs', 'Amount': '1'}, 'öljyä': {'Unit': 'rkl', 'Amount': '1/2'}, 'Pirkka sipulikuutioita (pakaste)': {'Unit': 'dl', 'Amount': '1'}, 'Pirkka tomaattimurskaa': {'Unit': 'tlk', 'Amount': '1'}, 'Pirkka pitkäjyväistä riisiä': {'Unit': 'dl', 'Amount': '2'}, 'vettä': {'Unit': 'dl', 'Amount': '2'}, 'kasvisliemikuutiota': {'Unit': '', 'Amount': '1/2'}, 'chilijauhetta': {'Unit': 'tl', 'Amount': '1/4'}, 'oreganoa': {'Unit': 'tl', 'Amount': '1 1/2'}}"
Kabanossikeitto,,g,4,"{'CarbohydratePerUnit': '2.80', 'ProteinPerUnit': '2.83', 'FatPerUnit': '3.82', 'KcalPerUnit': '56.65'}","{'Pirkka sipulikuutioita (pakaste)': {'Unit': 'ps', 'Amount': '1/2'}, 'valkosipulinkynttä': {'Unit': '', 'Amount': '3'}, 'öljyä': {'Unit': 'rkl', 'Amount': '1-2'}, 'keräkaalia': {'Unit': 'g', 'Amount': 'n. 300'}, 'vettä': {'Unit': 'l', 'Amount': '1'}, 'lihaliemikuutiota': {'Unit': '', 'Amount': '2'}, 'Pirkka tomaattisosetta': {'Unit': 'rkl', 'Amount': '3'}, 'kokonaista maustepippuria': {'Unit': '', 'Amount': '10'}, 'Pirkka keittojuureksia (pakaste)': {'Unit': 'ps', 'Amount': '1'}, 'Kabanossi-makkaraa, valkosipuli': {'Unit': 'g', 'Amount': '300'}, 'oreganoa': {'Unit': 'tl', 'Amount': '2'}, 'persiljaa hienonnettuna': {'Unit': 'dl', 'Amount': '1/2'}}"
Peruna-porkkanasose,,g,4,"{'CarbohydratePerUnit': '6.00', 'ProteinPerUnit': '0.72', 'FatPerUnit': '0.10', 'KcalPerUnit': '28.90'}","{'perunaa': {'Unit': '', 'Amount': '6'}, 'porkkanaa': {'Unit': '', 'Amount': '4'}, 'vettä': {'Unit': 'l', 'Amount': 'n. 1/2'}, 'suolaa': {'Unit': 'tl', 'Amount': '1/2'}, 'kasvisten keitinlientä': {'Unit': 'dl', 'Amount': 'n. 2'}}"
Paistettu kala ja helppo hollandaisekastike,,g,4,"{'CarbohydratePerUnit': '4.96', 'ProteinPerUnit': '14.76', 'FatPerUnit': '5.14', 'KcalPerUnit': '125.61'}","{'ahven- tai kuhafileitä': {'Unit': 'g', 'Amount': '600'}, 'suolaa': {'Unit': 'tl', 'Amount': '1'}, 'mustapippuria': {'Unit': 'tl', 'Amount': '1/4'}, 'vehnäjauhoja': {'Unit': 'dl', 'Amount': 'n. 1/2'}, 'voita': {'Unit': 'g', 'Amount': '150'}, 'kananmunan keltuaista': {'Unit': '', 'Amount': '3'}, 'sitruunanmehua': {'Unit': 'rkl', 'Amount': '1'}, 'Knorr hollandaisekastiketta': {'Unit': 'ps', 'Amount': '1'}}"
Pekoni-broileripata,,g,4,"{'CarbohydratePerUnit': '2.76', 'ProteinPerUnit': '9.73', 'FatPerUnit': '13.72', 'KcalPerUnit': '174.07'}","{'Pirkka broilerin koipireisiä, marinoitu': {'Unit': 'rs', 'Amount': '1'}, 'HK Amerikan pekonia': {'Unit': 'pkt', 'Amount': '1'}, 'Pirkka sipulikuutioita (pakaste)': {'Unit': 'dl', 'Amount': '1'}, 'vettä': {'Unit': 'dl', 'Amount': '3'}, 'vehnäjauhoja': {'Unit': 'rkl', 'Amount': '2 1/2'}, 'porkkanoita': {'Unit': 'kpl', 'Amount': '3'}, 'rosmariinia': {'Unit': 'tl', 'Amount': '1'}}"
Pavlova eli pehmeä marenkikakku,,g,8,"{'CarbohydratePerUnit': '21.57', 'ProteinPerUnit': '1.98', 'FatPerUnit': '10.01', 'KcalPerUnit': '186.83'}","{'valkuaista': {'Unit': '', 'Amount': '4'}, 'sokeria': {'Unit': 'rkl', 'Amount': 'n. 1 1/2'}, 'maissitärkkelys- tai perunajauhoja': {'Unit': 'tl', 'Amount': '1'}, 'Pirkka vaniljasokeria': {'Unit': 'tl', 'Amount': '1'}, 'etikkaa': {'Unit': 'tl', 'Amount': '1'}, 'kuohu- tai vispikermaa': {'Unit': 'dl', 'Amount': '3'}, 'tuoreita mansikoita': {'Unit': 'l', 'Amount': '1'}}"
Feta-pinaattipiirakka,50,g,40,"{'CarbohydratePerUnit': '8.69', 'ProteinPerUnit': '6.81', 'FatPerUnit': '13.79', 'KcalPerUnit': '184.80'}","{'perunaa': {'Unit': '', 'Amount': '2'}, 'Pirkka voita (kylmää ja kovaa)': {'Unit': 'g', 'Amount': '200'}, 'Pirkka vehnäjauhoja': {'Unit': 'dl', 'Amount': '3'}, 'Pirkka ruisjauhoja': {'Unit': 'dl', 'Amount': '2'}, 'leivinjauhetta': {'Unit': 'tl', 'Amount': '1'}, 'suolaa': {'Unit': 'tl', 'Amount': '1'}, 'kylmää vettä': {'Unit': 'rkl', 'Amount': '2'}, 'Pirkka Parhaat fetajuustoa': {'Unit': 'pkt', 'Amount': '2'}, 'sipulia': {'Unit': '', 'Amount': '2'}, 'valkosipulinkynttä': {'Unit': '', 'Amount': '3'}, 'Pirkka lehtipinaattia (pakaste)': {'Unit': 'ps', 'Amount': '2'}, 'Pirkka rypsiöljyä': {'Unit': 'rkl', 'Amount': '2'}, 'Pirkka crème fraîchea (ranskankermaa, 18 %)': {'Unit': 'prk', 'Amount': '3'}, 'valkopippuria': {'Unit': 'tl', 'Amount': '1/4'}, 'muskottipähkinää': {'Unit': 'tl', 'Amount': '1/4'}, 'Pirkka Luomu kananmunaa': {'Unit': '', 'Amount': '5'}}"
Broilerivuokaruoka,,g,4,"{'CarbohydratePerUnit': '12.62', 'ProteinPerUnit': '6.90', 'FatPerUnit': '5.77', 'KcalPerUnit': '129.85'}","{'Pirkka broilerin koipireisiä, marinoitu': {'Unit': 'kpl', 'Amount': '4'}, 'Pirkka riisiä': {'Unit': 'dl', 'Amount': '2'}, 'herne-maissi-porkkanasekoitusta': {'Unit': 'ps', 'Amount': '1'}, 'vettä': {'Unit': 'dl', 'Amount': '6'}, 'lihaliemikuutio': {'Unit': '', 'Amount': '1'}, 'currya': {'Unit': 'tl', 'Amount': '1'}, 'ketsuppia': {'Unit': 'rkl', 'Amount': '2'}}"
Cocktailpiirakat,,g,20,"{'CarbohydratePerUnit': '24.82', 'ProteinPerUnit': '7.31', 'FatPerUnit': '7.31', 'KcalPerUnit': '197.77'}","{'Moilasen leipomon paistovalmiita piirakoita': {'Unit': 'kpl', 'Amount': '20'}, 'palvikinkkua hienonnettuna': {'Unit': 'dl', 'Amount': '1'}, 'emmentalia raastettuna': {'Unit': 'dl', 'Amount': '1'}, 'muna': {'Unit': '', 'Amount': '1'}}"
Pähkinäiset taatelileivokset,,g,,"{'CarbohydratePerUnit': '35.60', 'ProteinPerUnit': '5.41', 'FatPerUnit': '13.66', 'KcalPerUnit': '287.76'}","{'leivontamargariinia': {'Unit': 'g', 'Amount': '400'}, 'sokeria': {'Unit': 'dl', 'Amount': '3'}, 'kananmunaa': {'Unit': '', 'Amount': '4'}, 'kuivattuja taateleita': {'Unit': 'ps', 'Amount': '1'}, 'kanelia': {'Unit': 'tl', 'Amount': '1'}, 'Pirkka kardemummaa': {'Unit': 'tl', 'Amount': '1'}, 'vanilliinisokeria': {'Unit': 'tl', 'Amount': '2'}, 'Pirkka leivinjauhetta': {'Unit': 'tl', 'Amount': '4'}, 'vehnäjauhoja': {'Unit': 'dl', 'Amount': '7'}, 'kahvijuomaa': {'Unit': 'dl', 'Amount': '2'}, 'hasselpähkinärouhetta': {'Unit': 'ps', 'Amount': '1'}, 'säilykekirsikoita': {'Unit': 'tlk', 'Amount': '1'}}"
Sinihomejuustolla täytetyt herkkusienet,,g,4,"{'CarbohydratePerUnit': '2.04', 'ProteinPerUnit': '6.92', 'FatPerUnit': '17.04', 'KcalPerUnit': '188.46'}","{'ruskeita herkkusieniä (tuoreita)': {'Unit': 'rs', 'Amount': '1'}, 'Pirkka sinihomejuustoa': {'Unit': 'g', 'Amount': '125'}}"
Säilykeherkkusienet marinadissa,,g,,"{'CarbohydratePerUnit': '7.70', 'ProteinPerUnit': '2.18', 'FatPerUnit': '10.95', 'KcalPerUnit': '137.89'}","{'herkkusieniä (kokonaisia)': {'Unit': 'tlk', 'Amount': '2'}, 'öljyä': {'Unit': 'dl', 'Amount': '1'}, 'sitruunanmehua': {'Unit': 'dl', 'Amount': '1'}, 'sokeria': {'Unit': 'rkl', 'Amount': '3'}, 'etikkaa': {'Unit': 'rkl', 'Amount': '2'}, 'valkosipulinkynttä': {'Unit': '', 'Amount': '2-3'}, 'punasipuli': {'Unit': '', 'Amount': '1'}, 'pippurisekoitusta': {'Unit': 'tl', 'Amount': '1'}, 'tuoretta basilikaa': {'Unit': 'ruukku', 'Amount': '1'}}"
Makkara-makaronilaatikko,,g,6,"{'CarbohydratePerUnit': '8.71', 'ProteinPerUnit': '3.82', 'FatPerUnit': '3.62', 'KcalPerUnit': '83.92'}","{'makaronia': {'Unit': 'ps', 'Amount': '1'}, 'vettä': {'Unit': 'l', 'Amount': '2'}, 'Pirkka lihaliemikuutiota': {'Unit': '', 'Amount': '2'}, 'lenkkimakkaraa': {'Unit': 'pkt', 'Amount': '1'}, 'öljyä': {'Unit': 'rkl', 'Amount': '1'}, 'Pirkka herne-maissi-paprikasekoitusta (pakaste)': {'Unit': 'ps', 'Amount': '1'}, 'kananmunaa': {'Unit': '', 'Amount': '3'}, 'maitoa': {'Unit': 'dl', 'Amount': '7'}, 'oreganoa': {'Unit': 'rkl', 'Amount': '1'}, 'mustapippuria': {'Unit': 'tl', 'Amount': '1/2'}, 'Pirkka emmental-mozzarellajuustoraastetta': {'Unit': 'dl', 'Amount': '2'}}"
Helppo jauhelihakastike,200,g,6,"{'CarbohydratePerUnit': '4.36', 'ProteinPerUnit': '7.12', 'FatPerUnit': '5.37', 'KcalPerUnit': '93.85'}","{'Pirkka naudan jauhelihaa (10 %)': {'Unit': 'rs', 'Amount': '1'}, 'suolaa': {'Unit': 'tl', 'Amount': '1 1/2'}, 'mustapippuria': {'Unit': 'tl', 'Amount': '1/2'}, 'sipuli': {'Unit': '', 'Amount': '1'}, 'Pirkka Luomu tomaattimurskaa': {'Unit': 'tlk', 'Amount': '1'}, 'Pirkka tomaattisosetta': {'Unit': 'rkl', 'Amount': '2'}, 'vettä': {'Unit': 'dl', 'Amount': '1'}, 'basilikaa tai oreganoa': {'Unit': 'tl', 'Amount': '2'}, 'jauhettua paprikaa': {'Unit': 'tl', 'Amount': '1'}}"
Lapin juustopaistos,,g,4,"{'CarbohydratePerUnit': '25.33', 'ProteinPerUnit': '8.59', 'FatPerUnit': '12.77', 'KcalPerUnit': '252.47'}","{'leipäjuustokiilaa': {'Unit': '', 'Amount': '2'}, 'Pirkka kuohukermaa': {'Unit': 'rkl', 'Amount': '2'}, 'vanilliinisokeria': {'Unit': 'tl', 'Amount': '1/2'}, 'sokeroituja lakkoja tai lakkahilloa': {'Unit': 'dl', 'Amount': '2-3'}}"
Pääsiäispasha,,g,10,"{'CarbohydratePerUnit': '12.74', 'ProteinPerUnit': '7.17', 'FatPerUnit': '16.81', 'KcalPerUnit': '199.86'}","{'voita': {'Unit': 'g', 'Amount': '100'}, 'sokeria': {'Unit': 'dl', 'Amount': '1'}, 'Pirkka laktoositonta vispikermaa': {'Unit': 'tlk', 'Amount': '1'}, 'Pirkka maitorahkaa': {'Unit': 'tlk', 'Amount': '2'}, 'kananmuna': {'Unit': '', 'Amount': '1'}, 'sitruunan mehu': {'Unit': '', 'Amount': '1/2'}, 'vanilliinisokeria': {'Unit': 'tl', 'Amount': '2'}, 'Pirkka mantelirouhetta': {'Unit': 'dl', 'Amount': '1/2'}, 'Pirkka rusinoita tai sukaattia hienonnettuna': {'Unit': 'dl', 'Amount': '1/2'}}"
Uuniperunat poro- ja lohitäytteellä,,g,4,"{'CarbohydratePerUnit': '5.56', 'ProteinPerUnit': '8.24', 'FatPerUnit': '6.69', 'KcalPerUnit': '115.27'}","{'jauhoista perunaa / ruokailija (esim. Rosamunda)': {'Unit': '', 'Amount': '1-2'}, 'Pirkka Parhaat poron kylmäsavupaistia': {'Unit': 'g', 'Amount': '100'}, 'Pirkka Kevyt kermaviiliä': {'Unit': 'tlk', 'Amount': '1'}, 'maustekurkkuviipaleita': {'Unit': 'dl', 'Amount': 'n. 1'}, 'sinappia': {'Unit': 'tl', 'Amount': '2'}, 'ketsuppia': {'Unit': 'tl', 'Amount': '2'}, 'kylmäsavustettua kirjolohta': {'Unit': 'g', 'Amount': '100'}, 'purjoa': {'Unit': '', 'Amount': 'n. 10'}, 'Pirkka ruohosipulituorejuustoa': {'Unit': 'rs', 'Amount': '1/2'}, 'kevytkermaa': {'Unit': 'dl', 'Amount': '1'}}"
Mehevä rahkapiirakka ja 25 pikkupullaa,,g,,{'KcalPerUnit': '0.00'},"{'Pirkka appelsiinimarmeladia': {'Unit': 'prk', 'Amount': '1/2'}, 'Pirkka maitorahkaa': {'Unit': 'prk', 'Amount': '3'}, 'kuohukermaa': {'Unit': 'tlk', 'Amount': '1'}, 'kananmunaa': {'Unit': '', 'Amount': '3'}, 'appelsiinitäysmehua': {'Unit': 'dl', 'Amount': '1'}, 'appelsiinin tai sitruunan mehu': {'Unit': '', 'Amount': '1'}, 'sokeria': {'Unit': 'dl', 'Amount': '1 1/2'}, 'vanilliinisokeria': {'Unit': 'rkl', 'Amount': '1'}}"
Katkarapu-kirjolohigratiini,,g,,"{'CarbohydratePerUnit': '5.62', 'ProteinPerUnit': '8.68', 'FatPerUnit': '8.62', 'KcalPerUnit': '135.55'}","{'Pirkka kirjolohifilee, ruodoton (sis. suolaa 1 %)': {'Unit': '', 'Amount': '1'}, 'vettä': {'Unit': 'dl', 'Amount': '1/2'}, 'sitruunan mehu': {'Unit': '', 'Amount': '1'}, 'perunasoseaineksia (pakaste)': {'Unit': 'ps', 'Amount': '1'}, 'kananmunan keltuainen': {'Unit': '', 'Amount': '1'}, 'voita': {'Unit': 'rkl', 'Amount': '1'}, 'kalan paistolientä': {'Unit': 'dl', 'Amount': '1 1/2'}, 'vehnäjauhoja': {'Unit': 'rkl', 'Amount': '2'}, 'Pirkka kuohukermaa': {'Unit': 'dl', 'Amount': '1'}, 'Pirkka katkarapuja (pakaste)': {'Unit': 'ps', 'Amount': '1'}, 'piparjuuritahnaa': {'Unit': 'tl', 'Amount': '2-3'}, 'suolaa': {'Unit': 'tl', 'Amount': '1/2'}, 'juustoraastetta': {'Unit': 'dl', 'Amount': '1'}}"
Mimosasalaatti,,g,5,"{'CarbohydratePerUnit': '4.59', 'ProteinPerUnit': '2.36', 'FatPerUnit': '6.62', 'KcalPerUnit': '86.95'}","{'jäävuorisalaatti': {'Unit': '', 'Amount': '1/2'}, 'omenaa': {'Unit': '', 'Amount': '2'}, 'Pirkka ananasviipaleita': {'Unit': 'tlk', 'Amount': '1'}, 'tomaattia': {'Unit': '', 'Amount': '3-4'}, 'kananmunaa koviksi keitettyinä': {'Unit': '', 'Amount': '4'}, 'kuohukermaa': {'Unit': 'dl', 'Amount': '1'}, 'Pirkka Kevyt majoneesia': {'Unit': 'dl', 'Amount': '1'}, 'ananastölkin mehua': {'Unit': 'rkl', 'Amount': '2'}}"
Kirjolohivartaat,320,g,4,"{'CarbohydratePerPortion': '34.20', 'CarbohydratePerUnit': '10.70', 'ProteinPerPortion': '35.50', 'ProteinPerUnit': '11.10', 'FatPerPortion': '33.30', 'FatPerUnit': '10.40', 'KcalPerPortion': '557.00', 'KcalPerUnit': '174.00'}","{'kirjolohifileetä': {'Unit': 'g', 'Amount': 'n. 600'}, 'suolaa': {'Unit': 'tl', 'Amount': 'n. 3/4'}, 'sitruuna': {'Unit': '', 'Amount': '1'}, 'Pirkka kirsikkatomaatteja': {'Unit': 'rs', 'Amount': '1'}, 'Pirkka maissintähkiä': {'Unit': 'tlk', 'Amount': '1'}, 'ranskalaista salaatinkastiketta': {'Unit': 'dl', 'Amount': '1 1/2'}, 'tilliä hienonnettuna': {'Unit': 'dl', 'Amount': '1/4'}, 'chilijauhetta': {'Unit': 'tl', 'Amount': '1/2'}, 'sitruunanmehua': {'Unit': 'rkl', 'Amount': '1'}}"
Lämpimät juustoleivät,,g,4,"{'CarbohydratePerUnit': '11.17', 'ProteinPerUnit': '12.13', 'FatPerUnit': '10.14', 'KcalPerUnit': '184.28'}","{'paahtoleipää': {'Unit': 'viipaletta', 'Amount': '4'}, 'tomaattia': {'Unit': '', 'Amount': '2'}, 'Pirkka emmental-mozzarellajuustoraastetta': {'Unit': 'ps', 'Amount': '1'}, 'kananmunan keltuaista': {'Unit': '', 'Amount': '2'}, 'valkuaista': {'Unit': '', 'Amount': '2'}}"
Maukas makkaravuoka,,g,,"{'CarbohydratePerUnit': '6.85', 'ProteinPerUnit': '8.40', 'FatPerUnit': '11.66', 'KcalPerUnit': '167.03'}","{'lenkkimakkaraa': {'Unit': 'pkt', 'Amount': '1'}, 'Pirkka sipulikuutioita (pakaste)': {'Unit': 'ps', 'Amount': '1/2'}, 'öljyä': {'Unit': 'rkl', 'Amount': '1'}, 'vehnäjauhoja': {'Unit': 'rkl', 'Amount': '2-3'}, 'maitoa': {'Unit': 'dl', 'Amount': '4'}, 'Pirkka tomaattisosetta': {'Unit': 'dl', 'Amount': '1/2'}, 'valkosipulinkynsi': {'Unit': '', 'Amount': '1'}, 'basilikaa': {'Unit': 'tl', 'Amount': '2'}, 'suolaa': {'Unit': 'tl', 'Amount': '1/2'}, 'punaleima-emmentaljuustoraastetta': {'Unit': 'dl', 'Amount': '1 1/2'}}"
Broilerikasari,,g,3-4,"{'CarbohydratePerUnit': '2.74', 'ProteinPerUnit': '8.22', 'FatPerUnit': '8.55', 'KcalPerUnit': '120.50'}","{'broilerin fileesuikaleita, maustamaton': {'Unit': 'g', 'Amount': '300-400'}, 'sipuli': {'Unit': '', 'Amount': '1'}, 'Pirkka herkkusieniä (tuoreita)': {'Unit': 'rs', 'Amount': '1'}, 'öljyä': {'Unit': 'rkl', 'Amount': '1-2'}, 'vehnäjauhoja': {'Unit': 'rkl', 'Amount': '1'}, 'vettä': {'Unit': 'dl', 'Amount': '1'}, 'Pirkka soijakastiketta': {'Unit': 'rkl', 'Amount': '1'}, 'sitruunapippuria': {'Unit': 'tl', 'Amount': '1/2'}, 'Pirkka basilikaa': {'Unit': 'tl', 'Amount': '1'}, 'Pirkka basilikaa hienonnettuna': {'Unit': 'rkl', 'Amount': '2'}, 'keltainen tai vihreä paprika': {'Unit': '', 'Amount': '1'}, 'smetanaa': {'Unit': 'prk', 'Amount': '1'}}"
Rullapannukakku,,g,n. 12,"{'CarbohydratePerUnit': '21.89', 'ProteinPerUnit': '4.54', 'FatPerUnit': '3.70', 'KcalPerUnit': '140.97'}","{'Pirkka kevytmaitoa': {'Unit': 'dl', 'Amount': '8'}, 'kananmunaa': {'Unit': '', 'Amount': '2'}, 'vehnäjauhoja': {'Unit': 'dl', 'Amount': '4'}, 'suolaa': {'Unit': 'tl', 'Amount': '1'}, 'sokeria': {'Unit': 'rkl', 'Amount': '1'}, 'öljyä': {'Unit': 'rkl', 'Amount': '2'}, 'Pirkka mansikkahilloa': {'Unit': 'dl', 'Amount': '2'}, 'Pirkka mansikoita (pakaste)': {'Unit': 'dl', 'Amount': 'n. 2'}}"
Vihannes-kinkkupasta,,g,4,"{'CarbohydratePerUnit': '5.88', 'ProteinPerUnit': '3.45', 'FatPerUnit': '2.37', 'KcalPerUnit': '59.67'}","{'Pirkka ylikypsää saunapalvikinkkua (pala)': {'Unit': 'g', 'Amount': '150-200'}, 'purjo tai sipuli': {'Unit': '', 'Amount': '1'}, 'Pirkka kasvissuikaleita (pakaste)': {'Unit': 'ps', 'Amount': '1'}, 'öljyä': {'Unit': 'rkl', 'Amount': '1'}, 'Pirkka tomaattimurskaa': {'Unit': 'tlk', 'Amount': '1'}, 'kuivattua timjamia tai': {'Unit': 'tl', 'Amount': '1'}, 'tuoretta timjamia hienonnettuna': {'Unit': 'rkl', 'Amount': '2'}, 'mustapippuria': {'Unit': 'tl', 'Amount': '1/2'}, 'suolaa': {'Unit': 'tl', 'Amount': '1/2'}}"
Täytetyt croissantit,,g,,{'KcalPerUnit': '0.00'},"{'croissantteja (paistovalmista taikinaa)': {'Unit': 'tlk', 'Amount': '1'}, 'pakastekatkarapuja': {'Unit': 'g', 'Amount': '50'}, 'viipaletta kinkkua': {'Unit': '', 'Amount': '3'}}"
Sitruuna-marenkipiirakka,95,g,10,"{'CarbohydratePerUnit': '29.08', 'ProteinPerUnit': '3.79', 'FatPerUnit': '9.36', 'KcalPerUnit': '217.49'}","{'Pirkka vehnäjauhoja': {'Unit': 'dl', 'Amount': '2 1/2'}, 'sokeria': {'Unit': 'dl', 'Amount': '1 1/2'}, 'Pirkka voita': {'Unit': 'rkl', 'Amount': '1'}, 'kananmunan keltuainen': {'Unit': '', 'Amount': '1'}, 'kylmää vettä': {'Unit': 'rkl', 'Amount': '1'}, 'vettä': {'Unit': 'dl', 'Amount': '4'}, 'maissitärkkelysjauhoa (Maizena)': {'Unit': 'rkl', 'Amount': '5'}, 'kananmunan keltuaista': {'Unit': '', 'Amount': '4'}, 'sitruunanmehua': {'Unit': 'dl', 'Amount': '1'}, 'sitruunan raastettu kuori': {'Unit': '', 'Amount': '1'}, 'valkuaista': {'Unit': '', 'Amount': '5'}, 'erikoishienoa sokeria (Siro)': {'Unit': 'dl', 'Amount': '1 1/4'}}"
Maissinen vihannessalaatti,,g,4,"{'CarbohydratePerUnit': '5.85', 'ProteinPerUnit': '1.17', 'FatPerUnit': '10.14', 'KcalPerUnit': '119.55'}","{'jäävuorisalaattia': {'Unit': '', 'Amount': '1/2'}, 'tuoretta kurkkua': {'Unit': 'g', 'Amount': '100'}, 'tomaattia': {'Unit': '', 'Amount': '2'}, 'maissinjyviä': {'Unit': 'tlk', 'Amount': '1'}, 'valkoviinietikkaa': {'Unit': 'rkl', 'Amount': '2'}, 'sokeria': {'Unit': 'tl', 'Amount': '1'}, 'suolaa': {'Unit': 'tl', 'Amount': '1/4'}, 'mustapippuria': {'Unit': 'tl', 'Amount': '1/2'}, 'öljyä': {'Unit': 'dl', 'Amount': '1'}}"
