name,size,unit,portions,nutrition,ingredients
Aila-tädin piimähyytelökakku,100,g,14,"{'CarbohydratePerPortion': '22.80', 'CarbohydratePerUnit': '22.80', 'ProteinPerPortion': '2.50', 'ProteinPerUnit': '2.50', 'FatPerPortion': '15.60', 'FatPerUnit': '15.60', 'KcalPerPortion': '239.00', 'KcalPerUnit': '239.00'}","{'Pirkka digestivekeksejä': {'Unit': 'g', 'Amount': '200'}, 'voita': {'Unit': 'g', 'Amount': '75'}, 'liivatelehteä': {'Unit': '', 'Amount': '6'}, 'sokeria': {'Unit': 'dl', 'Amount': '1 1/2'}, 'vanilliinisokeria': {'Unit': 'tl', 'Amount': '2'}, 'piimää': {'Unit': 'dl', 'Amount': '4'}, 'kuohukermaa': {'Unit': 'dl', 'Amount': '2'}, 'sitruunanmehua': {'Unit': 'rkl', 'Amount': '3'}, 'mango- tai hedelmäsosetta': {'Unit': 'prk', 'Amount': '2'}}"
Sinihomejuustoperunat,,g,5,"{'CarbohydratePerUnit': '1.65', 'ProteinPerUnit': '2.41', 'FatPerUnit': '7.82', 'KcalPerUnit': '85.19'}","{'Pirkka peruna-sipulisekoitusta (pakaste)': {'Unit': 'ps', 'Amount': '2'}, 'Pirkka sinihomejuustomurua': {'Unit': 'ps', 'Amount': '1'}, 'Pirkka laktoositonta kevytkermaa (10 %)': {'Unit': 'tlk', 'Amount': '2'}, 'suolaa': {'Unit': 'tl', 'Amount': '1'}, 'mustapippuria': {'Unit': 'tl', 'Amount': '1/2'}}"
Possunfilee ja vihannesraita,150,g,4,"{'CarbohydratePerPortion': '7.00', 'CarbohydratePerUnit': '4.70', 'ProteinPerPortion': '33.00', 'ProteinPerUnit': '22.00', 'FatPerPortion': '19.00', 'FatPerUnit': '12.70', 'KcalPerPortion': '338.00', 'KcalPerUnit': '225.00'}","{'Pirkka porsaan sisäfilee': {'Unit': '', 'Amount': '1'}, 'öljyä': {'Unit': 'dl', 'Amount': '1/2'}, 'sitruunanmehua': {'Unit': 'rkl', 'Amount': '2'}, 'Pirkka juoksevaa hunajaa': {'Unit': 'rkl', 'Amount': '2'}, 'lihafondia': {'Unit': 'rkl', 'Amount': '1'}, 'mustapippuria': {'Unit': 'tl', 'Amount': '1/2'}, 'inkivääriä': {'Unit': 'tl', 'Amount': '1'}, 'Bulgarian jogurttia': {'Unit': 'tlk', 'Amount': '2'}, 'kurkkua': {'Unit': '', 'Amount': '1/2'}, 'tomaattia': {'Unit': '', 'Amount': '2'}, 'kevätsipulia': {'Unit': '', 'Amount': '2'}, 'pientä purjoa': {'Unit': '', 'Amount': '1/4'}, 'valkosipulinkynttä': {'Unit': '', 'Amount': '3-4'}, 'minttua tai tilliä': {'Unit': 'dl', 'Amount': '1'}, 'punaista chiliä': {'Unit': '', 'Amount': '1/2'}, 'suolaa': {'Unit': 'tl', 'Amount': '1/2'}}"
Broilerikastike,220,g,4,"{'CarbohydratePerUnit': '3.00', 'ProteinPerUnit': '11.00', 'FatPerUnit': '7.00', 'KcalPerUnit': '116.00'}","{'Pirkka broilerin fileesuikaleita, maustamaton': {'Unit': 'rs', 'Amount': '1'}, 'öljyä': {'Unit': 'rkl', 'Amount': '1-2'}, 'suolaa': {'Unit': 'tl', 'Amount': '1/2'}, 'Maille Dijon kokojyväsinappia': {'Unit': 'rkl', 'Amount': '2'}, 'vettä': {'Unit': 'dl', 'Amount': '1 1/2'}, 'Pirkka ruokakermaa': {'Unit': 'tlk', 'Amount': '1'}, 'tomaattia': {'Unit': '', 'Amount': '2-3'}, 'ruohosipulia hienonnettuna': {'Unit': 'dl', 'Amount': '1/2-1'}}"
Tomaatti-fetatäytteinen kukkakaali,,g,,"{'CarbohydratePerUnit': '4.00', 'ProteinPerUnit': '3.00', 'FatPerUnit': '3.00', 'KcalPerUnit': '65.00'}","{'kukkakaalia': {'Unit': '', 'Amount': '1'}, 'Pirkka tomaattimurskaa': {'Unit': 'tlk', 'Amount': '1'}, 'sipuli': {'Unit': '', 'Amount': '1'}, 'salaattijuustokuutioiden öljymarinadia': {'Unit': 'rkl', 'Amount': '1/2-1'}, 'sokeria': {'Unit': 'tl', 'Amount': '1'}, 'tuoretta basilikaa hienonnettuna': {'Unit': 'dl', 'Amount': '1/2'}, 'Pirkka salaattijuustokuutioita öljymarinadissa': {'Unit': 'tlk', 'Amount': '1/2'}, 'Pirkka grillimakkaroita': {'Unit': 'pkt', 'Amount': '1'}}"
Pizzeriasalaatti,,g,12,"{'CarbohydratePerUnit': '4.98', 'ProteinPerUnit': '1.05', 'FatPerUnit': '5.31', 'KcalPerUnit': '71.92'}","{'keräkaalia': {'Unit': 'kg', 'Amount': '1'}, 'öljyä': {'Unit': 'dl', 'Amount': '3/4'}, 'viinietikkaa': {'Unit': 'dl', 'Amount': '1/4'}, 'valkosipulisuolaa': {'Unit': 'tl', 'Amount': '1/2'}, 'mustapippuria': {'Unit': 'tl', 'Amount': '1/4'}, 'sokeria': {'Unit': 'tl', 'Amount': '2'}, 'K-Menu paprikasalaatti': {'Unit': 'tlk', 'Amount': '1'}}"
Jauhelihakebakot ja salsakastike,70,g,4,"{'CarbohydratePerPortion': '1.40', 'CarbohydratePerUnit': '2.00', 'ProteinPerPortion': '18.20', 'ProteinPerUnit': '26.00', 'FatPerPortion': '7.00', 'FatPerUnit': '10.00', 'KcalPerPortion': '145.00', 'KcalPerUnit': '207.00'}","{'Pirkka naudan jauhelihaa (17 %)': {'Unit': 'g', 'Amount': '400'}, 'kananmuna': {'Unit': '', 'Amount': '1'}, 'suolaa': {'Unit': 'tl', 'Amount': '1/4'}, 'mustapippuria': {'Unit': 'tl', 'Amount': '1/2'}, 'basilikaa tai oreganoa': {'Unit': 'tl', 'Amount': '1'}, 'sinappia': {'Unit': 'rkl', 'Amount': '1'}, 'Pirkka makeaa chilikastiketta': {'Unit': 'rkl', 'Amount': '1-2'}, 'pieni sipuli': {'Unit': '', 'Amount': '1'}, 'vihreitä peperoneja (säilyke)': {'Unit': 'g', 'Amount': 'n. 50'}, 'vihreitä, kivettömiä oliiveja': {'Unit': 'kpl', 'Amount': '20'}, 'Pirkka paseerattua tomaattia': {'Unit': 'tlk', 'Amount': '1/2'}, 'chilijauhetta': {'Unit': 'tl', 'Amount': '1/4-1/2'}, 'varrastikkua': {'Unit': '', 'Amount': '8'}}"
Hiekkahentuset,45,g,30,"{'CarbohydratePerPortion': '15.00', 'CarbohydratePerUnit': '33.30', 'ProteinPerPortion': '2.00', 'ProteinPerUnit': '4.40', 'FatPerPortion': '10.00', 'FatPerUnit': '22.20', 'KcalPerPortion': '152.00', 'KcalPerUnit': '338.00'}","{'voita tai margariinia': {'Unit': 'g', 'Amount': '200'}, 'sokeria': {'Unit': 'rkl', 'Amount': '2-3'}, 'kananmuna': {'Unit': '', 'Amount': '1'}, 'vehnäjauhoja': {'Unit': 'dl', 'Amount': '4'}, 'leivinjauhetta': {'Unit': 'tl', 'Amount': '1'}, 'Pirkka appelsiinimarmeladia': {'Unit': 'g', 'Amount': 'n. 150'}, 'Pirkka laktoositonta vispikermaa': {'Unit': 'dl', 'Amount': '3'}, 'vanilliinisokeria': {'Unit': 'tl', 'Amount': '1'}, 'mansikoita': {'Unit': 'l', 'Amount': 'n. 1/2'}, 'alumiinivuokaa': {'Unit': '', 'Amount': '30'}}"
Mozzarellajuustolla kuorrutetut lehtipihvit,210,g,4,"{'CarbohydratePerPortion': '4.00', 'CarbohydratePerUnit': '1.90', 'ProteinPerPortion': '37.00', 'ProteinPerUnit': '17.60', 'FatPerPortion': '32.00', 'FatPerUnit': '15.20', 'KcalPerPortion': '453.00', 'KcalPerUnit': '216.00'}","{'naudan ulkofileelehtipihviä': {'Unit': 'pkt', 'Amount': '2'}, 'keskikokoinen kesäkurpitsa': {'Unit': '', 'Amount': '1'}, 'Pirkka aurinkokuivattua tomaattia': {'Unit': '', 'Amount': '4-6'}, 'mozzarellajuustoa': {'Unit': 'g', 'Amount': '200'}, 'öljyä': {'Unit': 'rkl', 'Amount': '3'}, 'suolaa': {'Unit': 'tl', 'Amount': '1'}, 'mustapippuria': {'Unit': 'tl', 'Amount': '1'}}"
Kalatäytteiset krepit muurinpohjapannulla,130,g,10,"{'CarbohydratePerPortion': '14.00', 'CarbohydratePerUnit': '10.80', 'ProteinPerPortion': '22.00', 'ProteinPerUnit': '16.90', 'FatPerPortion': '16.00', 'FatPerUnit': '12.30', 'KcalPerPortion': '299.00', 'KcalPerUnit': '230.00'}","{'maitoa': {'Unit': 'dl', 'Amount': '5'}, 'Pirkka Luomu kananmunaa': {'Unit': '', 'Amount': '2'}, 'vehnäjauhoja': {'Unit': 'dl', 'Amount': '2'}, 'ohrajauhoja': {'Unit': 'dl', 'Amount': '1/2'}, 'suolaa': {'Unit': 'tl', 'Amount': '3/4'}, 'Pirkka juoksevaa margariinia': {'Unit': 'rkl', 'Amount': '2'}, 'savusilakoita': {'Unit': 'g', 'Amount': '600'}, 'Pirkka Luomu kananmunaa koviksi keitettyinä': {'Unit': '', 'Amount': '4'}, 'Pirkka pippurituorejuustoa': {'Unit': 'g', 'Amount': '100'}}"
